VW code,Material,German name,English Name,Remarks
0,cloth?,flockalabaster(?),?,(1973) Mcode 53
7,leatherette,?,?,
9,cloth,?,camping red,
14,leatherette,?,?,
15,leatherette,?,?,
25,leatherette,??? grau,??? grey,
26,leatherette,?,??? beige,(-1969-)
30,?,?,?,
33,leatherette,hellgrau-mittelgrau,light grey/medium grey,(1968-1970)
33,cloth,?,camping red,(1973-1975)
33,cloth,?,green yellow,(1979)
34,leatherette,hellsand,light sand,(1968)
34,leatherette,hellsand-khakibraun,light sand/khaki brown,(1969-1970)
34,cloth,?,camping green yellow,(1976-1978)
35,leatherette,dunkelblau,dark blue,
36,leatherette,beige,beige,
37,?,?,?,
40,leatherette,schwarz,black,(1971-1972)
40,cloth,?,camping green,(1973-1975)
40,cloth,?,green red,(1979)
41,leatherette,indischrot,indian red,(1968)
41,cloth,?,camping green red,(1976-1978)
42,leatherette,?,grey/beige (?),
44,?,?,?,
45,leatherette,?,medium grey,
46,cloth,?,camping brown beige,
47,leatherette,galarot,gala red,
47,cloth,?,brown beige,(1979)
49,cloth,?,camping red,
50,leatherette,schwarz,black,
51,leatherette,dunkelbeige,dark beige,
52,leatherette,alabaster,alabaster (grey),
53,leatherette,kork,cork,
55,leatherette,lederbeige,leather beige,
60,leatherette,gala rot,gala red,
61,leatherette,?,medium grey,
77,leatherette,?,canyon brown,
84,?,?,?,
90,cloth,?,?,(Mcode 106)
EB,cloth,?,camping green yellow,
EC,cloth,?,camping green red,
ED,cloth,?,camping brown beige,
K2,cloth,?,parchment (beige-grey),
M9,leatherette,?,slate,
N1,leatherette,?,juniper (green),
N2,leatherette,?,tapis Blue,
N3,leatherette,?,bamboo (beige),
NM,leatherette,?,black,
NP,leatherette,?,canyon brown,
NS,leatherette,?,alabaster (grey),
V1,cloth,?,sienna (red brown),
